name,team,position,espn_id
Chris Olave,NOS,WR,4361370
Chris Owusu,NYJ,WR,15230
Christian Kirk,HOU,WR,3895856
Christian Watson,GBP,WR,4248528
Chuck Jacobs,BAL,WR,16462
Clyde Gates,TEN,WR,14209
Cody Core,MIA,WR,2980378
Cody Hollister,TEN,WR,3115443
Cody White,SEA,WR,4241983
Cole Burgess,PIT,WR,5192448
Coleman Owen,IND,WR,4578436
Colton Dowell,SFO,WR,4250945
Cooper Kupp,SEA,WR,2977187
Corey Fuller,NOS,WR,16014
Cornelius Johnson,BAL,WR,4426479
Cornell Powell,PIT,WR,4035465
Courtland Sutton,DEN,WR,3128429
Curtis Samuel,BUF,WR,3121427
D.J. Montgomery,IND,WR,4249030
D.J. Moore,CHI,WR,3915416
DJ Turner,LVR,WR,4036211
DK Metcalf,PIT,WR,4047650
Da'Ron Brown,KCC,WR,2513351
Dale Moss,CHI,WR,15255
Dalen Cambre,NYG,WR,4570296
Dalevon Campbell,LAC,WR,4569372
Damarr Aultman,MIA,WR,2507242
Dan Chisena,CAR,WR,3929637
Danny Gray,PHI,WR,4689546
Dante Pettis,NOS,WR,3127306
Dareke Young,SEA,WR,4401805
Darius Cooper,PHI,WR,4715355
Darius Slayton,NYG,WR,3916945
Darnell Mooney,ATL,WR,4040655
Darvin Kidsy,WAS,WR,3051650
Davante Adams,LAR,WR,16800
David Bell,CLE,WR,4570409
David Moore,CAR,WR,4212909
David Nelson,PIT,WR,13621
David Sills,ATL,WR,3871102
Daylen Baldwin,MIN,WR,4262900
Dayton Wade,BAL,WR,4428763
DeAndre Carter,CLE,WR,2580216
DeAndre Hopkins,BAL,WR,15795
DeVonta Smith,PHI,WR,4241478
Dee Eskridge,MIA,WR,4043016
Deebo Samuel,WAS,WR,3126486
Deion Branch,IND,WR,3593
Demarco Sampson,PHI,WR,14060
Demarcus Robinson,SFO,WR,3043116
Demario Douglas,NEP,WR,4427095
Dennis Houston,TBB,WR,4572786
Deon Long,STL,WR,2514423
Derius Davis,LAC,WR,4362477
Devaughn Vele,NOS,WR,4569559
Deven Thompkins,ATL,WR,4374187
Devin Duvernay,CHI,WR,4039050
Devin Fuller,ATL,WR,2971574
Devin Gray,ATL,WR,4037481
Devin Thomas,DET,WR,11268
Devon Wylie,STL,WR,14923
Devontez Walker,BAL,WR,4696882
Diondre Borel,TEN,WR,14677
Dom Williams,PHI,WR,2578446
Dominic Lovett,DET,WR,4596439
Dominique Curry,DET,WR,13806
Dont'e Thornton,LVR,WR,4432775
Dontayvion Wicks,GBP,WR,4428850
Drake London,ATL,WR,4426502
Dyami Brown,JAC,WR,4361577
Dylan Drummond,ATL,WR,4363551
Easop Winston,NYJ,WR,4245174
Efton Chism,NEP,WR,4695193
Eli Pancol,IND,WR,4430288
Elic Ayomanor,TEN,WR,4883647
Elijah Cooks,NOS,WR,4241588
Elijah Moore,DEN,WR,4372414
Emeka Egbuka,TBB,WR,4567750
Emmanuel Arceneaux,NYJ,WR,13954
Emory Blake,STL,WR,16300
Eron Riley,NYJ,WR,13112
Frankie Hammond,NYJ,WR,16260
Fred Williams,KCC,WR,17257
Gabriel Davis,BUF,WR,4243537
Gage Larvadain,CLE,WR,4877203
Garrett Wilson,NYJ,WR,4569618
George Pickens,DAL,WR,4426354
Glenn Martinez,HOU,WR,9357
Greg Dortch,ARI,WR,4037235
Greg Orton,NEP,WR,12589
Gunner Olszewski,NYG,WR,4424106
Ihmir Smith-Marsette,ARI,WR,4240573
Isaac TeSlaa,DET,WR,5123663
Isaac Whitney,HOU,WR,3894883
Isaiah Bond,CLE,WR,4808839
Isaiah Burse,LAC,WR,16972
Isaiah Hodgins,NYG,WR,4242540
Isaiah Neyor,GBP,WR,4428116
Isaiah Williams,NYJ,WR,4569371
Isaiah Williams,OAK,WR,13117
Ishmael Hyman,CAR,WR,3039968
J.J. Stokes,SFO,WR,8540
JP Richardson,CHI,WR,4685183
Ja'Corey Brooks,WAS,WR,4431506
Ja'Lynn Polk,NOS,WR,4430637
Ja'Marr Chase,CIN,WR,4362628
Jack Bech,LVR,WR,4603186
Jackson Meeks,DET,WR,4602788
Jacob Cowing,SFO,WR,4575665
Jacoby Jones,WAS,WR,5083297
Jahan Dotson,PHI,WR,4361409
Jahdae Walker,CHI,WR,5160110
Jake Bobo,SEA,WR,4360405
Jakobi Meyers,JAC,WR,3916433
Jakobie Keeney-James,GBP,WR,5178972
Jalen Brooks,ARI,WR,4692835
Jalen Coker,CAR,WR,4695883
Jalen Cropper,DAL,WR,4426990
Jalen McMillan,TBB,WR,4430834
Jalen Nailor,MIN,WR,4382466
Jalen Reagor,LAC,WR,4241802
Jalen Royals,KCC,WR,5082630
Jalen Tolbert,DAL,WR,4249417
Jalin Hyatt,NYG,WR,4692590
Jamaal Pritchett,NYJ,WR,4892576
Jamari Thrash,CLE,WR,4428678
Jamel Johnson,SEA,WR,3153437
James Proche,TEN,WR,3916204
James Wright,IND,WR,16922
Jameson Williams,DET,WR,4426388
Jared Wayne,HOU,WR,4430681
Jarred Fayson,NOS,WR,14383
Jason Brownlee,KCC,WR,4689988
Jauan Jennings,SFO,WR,3886598
Javon Baker,SFO,WR,4692022
Jaxon Smith-Njigba,SEA,WR,4430878
Jayden Higgins,HOU,WR,4877706
Jayden Reed,GBP,WR,4362249
Jaylen Waddle,MIA,WR,4372016
Jaylin Lane,WAS,WR,4602667
Jaylin Noel,HOU,WR,4586312
Jermaine Ross,CLE,WR,4622
Jerry Jeudy,CLE,WR,4241463
Jeshaun Jones,MIN,WR,4360637
Jha'Quan Jackson,JAC,WR,4427575
Jimmie Hunt,GBP,WR,2514119
Jimmy Horn,CAR,WR,4708486
Joaquin Davis,MIN,WR,4696907
John Matthews,JAC,WR,12999
John Metchie,NYJ,WR,4567096
Johnny Wilson,PHI,WR,4686104
Jonathan Mingo,DAL,WR,4426485
Jordan Addison,MIN,WR,4429205
Jordan Moore,CIN,WR,4594444
Jordan Veasy,WAS,WR,4035853
Jordan Watkins,SFO,WR,4431466
Jordan Whittington,LAR,WR,4569382
Jordan Williams,NOS,WR,2972065
Josh Downs,IND,WR,4688813
Josh Lenz,HOU,WR,16147
Josh Reynolds,NYJ,WR,3115306
Joshua Cephus,JAC,WR,4426893
Joshua Palmer,BUF,WR,4242433
JuJu Smith-Schuster,KCC,WR,3120348
Junior Bergen,SFO,WR,4887918
Justin Jefferson,MIN,WR,4262921
Justin Shorter,LVR,WR,4361426
Justin Watson,HOU,WR,3118892
K.J. Osborn,ATL,WR,3916566
KaVontae Turpin,DAL,WR,3676833
Kaden Davis,CLE,WR,5065495
Kalif Raymond,DET,WR,2973405
Kameron Johnson,TBB,WR,5097554
Kashif Moore,PIT,WR,15180
Kawaan Baker,NEP,WR,4068152
Kayshon Boutte,NEP,WR,4429022
Ke'Shawn Williams,CIN,WR,4570738
KeAndre Lambert-Smith,LAC,WR,4430870
Keenan Allen,LAC,WR,15818
Kelvin McKnight,DEN,WR,3915575
Kendric Pryor,CIN,WR,4035776
Kendrick Bourne,SFO,WR,3045523
Keon Coleman,BUF,WR,4635008
Keon Hatcher,NYJ,WR,2980061
Kevin Austin,NOS,WR,4372758
Kevin Dorsey,NEP,WR,15907
Kevin Smith,SEA,WR,17257
KhaDarel Hodge,ATL,WR,3047876
Khalil Shakir,BUF,WR,4373678
Konata Mumpfield,LAR,WR,4710855
Kris Adams,NYG,WR,14319
Kristian Wilkerson,BUF,WR,3910176
Kyle Williams,NEP,WR,4613202
Kyle Williams,DEN,WR,13488
L'Damian Washington,PIT,WR,17307
LaJohntay Wester,BAL,WR,4690143
LaRon Byrd,WAS,WR,15536
Ladd McConkey,LAC,WR,4612826
Lance Lenoir,DAL,WR,3049249
Lance Lewis,SFO,WR,15741
Lance McCutcheon,TEN,WR,4247812
Laquon Treadwell,IND,WR,3051889
Larry Pinkard,JAC,WR,2512892
Lil'Jordan Humphrey,DEN,WR,4039057
Luke Floriea,CLE,WR,4566157
Luke Grimm,LAC,WR,4433830
Luke McCaffrey,WAS,WR,4426948
Luther Burden,CHI,WR,4685278
Mack Hollins,NEP,WR,2991662
Malachi Corley,CLE,WR,4613104
Malik Cunningham,DET,WR,4240069
Malik Heath,ATL,WR,4689334
Malik Nabers,NYG,WR,4595348
Malik Turner,SFO,WR,3115928
Malik Washington,MIA,WR,4569603
Marcus Easley,BUF,WR,13224
Marcus Harris,NYG,WR,14688
Marcus Leak,IND,WR,2577081
Mario Williams,LAR,WR,4431618
Marken Michel,PHI,WR,2591718
Marquez Valdes-Scantling,PIT,WR,3051738
Marquise Brown,KCC,WR,4241372
Marvin Harrison Jr.,ARI,WR,4432708
Marvin Mims,DEN,WR,4686472
Mason Kinsey,TEN,WR,4057082
Mason Tipton,NOS,WR,4573697
Mathew Sexton,KCC,WR,4039339
Matthew Golden,GBP,WR,4701936
Maurice Alexander,CHI,WR,3914307
Mecole Hardman,BUF,WR,4035004
Mekale McKay,CIN,WR,2980068
Michael Bandy,DEN,WR,4034704
Michael Calvin,TEN,WR,15133
Michael Pittman,IND,WR,4035687
Michael Wilson,ARI,WR,4360761
Michael Woods,GBP,WR,4360174
Mike Evans,TBB,WR,16737
Mike Furrey,WAS,WR,4939
Mitchell Tinsley,CIN,WR,4690070
Montay Crockett,JAC,WR,2973973
Myles Price,MIN,WR,4430656
Nate Hughes,JAC,WR,11798
Nick Easley,BUF,WR,4240591
Nick Miller,PHI,WR,12953
Nick Nash,WAS,WR,4570242
Nick Westbrook-Ikhine,MIA,WR,3929785
Nico Collins,HOU,WR,4258173
Nikko Remigio,KCC,WR,4372716
Noah Brown,WAS,WR,3121409
Olamide Zaccheaus,CHI,WR,3917914
Parker Washington,JAC,WR,4432620
Parris Campbell,DAL,WR,3121410
Pat Bryant,DEN,WR,4600981
Patrick Williams,BAL,WR,13027
Paul Turner,NOS,WR,2577286
Paul Williams,TEN,WR,10524
Phillip Dorsett,LVR,WR,2579604
Phillip Livas,BAL,WR,14555
Puka Nacua,LAR,WR,4426515
Quadree Henderson,PIT,WR,3895789
Quentin Johnston,LAC,WR,4429025
Quentin Skinner,NYJ,WR,4613050
Quez Watkins,PHI,WR,4050373
Quintez Cephus,HOU,WR,4035793
R.J. Harris,NOS,WR,2507284
Rakim Jarrett,PIT,WR,4429006
Rannell Hall,CLE,WR,2581464
Rashad Lawrence,JAC,WR,17349
Rashard Davis,TEN,WR,3049329
Rashee Rice,KCC,WR,4428331
Rashid Shaheed,SEA,WR,4032473
Rashod Bateman,BAL,WR,4360939
Ray-Ray McCloud,NYG,WR,3728262
Reggie Bell,NOS,WR,2520767
Reggie Davis,CHI,WR,3043134
Ricardo Louis,MIA,WR,2971023
Ricky Pearsall,SFO,WR,4428209
Ricky White,SEA,WR,4431479
River Cracraft,WAS,WR,3052056
Robbie Chosen,WAS,WR,2574808
Robert Herron,MIA,WR,16903
Robert Meachem,FA*,WR,10471
Roberto Wallace,TEN,WR,13661
Rod Windsor,CLE,WR,13941
Rodney Smith,DAL,WR,16373
Roman Wilson,PIT,WR,4431492
Rome Odunze,CHI,WR,4431299
Romeo Doubs,GBP,WR,4361432
Rondale Moore,MIN,WR,4372485
Ronnie Bell,NOS,WR,4372063
Russell Gage,SFO,WR,3115378
Ryan Flournoy,DAL,WR,5083754
Ryan Miller,NYG,WR,4369466
Ryan Spadola,ARI,WR,16230
Ryan Thelwell,SDC,WR,9283
Samori Toure,NOS,WR,4027873
Savion Williams,GBP,WR,4431487
Scotty McKnight,NYJ,WR,14161
Scotty Miller,PIT,WR,3914397
Seantavius Jones,IND,WR,17191
Seyi Ajirotutu,PHI,WR,13524
Shakim Phillips,PIT,WR,2512378
Shaquan Davis,PHI,WR,4579752
Shaun Bodiford,OAK,WR,9872
Shedrick Jackson,LVR,WR,4361332
Simi Fehoko,ARI,WR,4360739
Skye Dawson,DET,WR,16337
Skyy Moore,SFO,WR,4430191
Spencer Schnell,TBB,WR,3126075
Stefon Diggs,NEP,WR,2976212
Sterling Shepard,TBB,WR,2976592
Steve Ishmael,IND,WR,3123992
Steven Sims,ARI,WR,3917960
Stevonne Smith,CAR,WR,6044
Tahj Washington,MIA,WR,4567506
Tai Felton,MIN,WR,4565185
Tank Dell,HOU,WR,4366031
Tay Martin,WAS,WR,4245144
Tee Higgins,CIN,WR,4239993
Tejhaun Palmer,ARI,WR,4875912
Terrace Marshall,PHI,WR,4362630
Terrence Austin,DET,WR,13312
Terry McLaurin,WAS,WR,3121422
Tetairoa McMillan,CAR,WR,4685472
Tevaun Smith,JAC,WR,2979507
Tez Johnson,TBB,WR,4608810
Theo Wease,MIA,WR,4426535
Tim Jones,JAC,WR,4245131
Tim Patrick,JAC,WR,3134353
Tim Toone,ATL,WR,13474
Tom Kennedy,DET,WR,3126997
Tommy Mellott,NOS,WR,4775196
Toney Clemons,CAR,WR,15118
Tony Washington,JAC,WR,17048
Tory Horton,SEA,WR,4597703
Traeshon Holden,DAL,WR,4429172
Travin Dural,NOS,WR,2976557
Travis Hunter,JAC,WR,4685415
Tre Harris,LAC,WR,4686612
Tre Tucker,LVR,WR,4428718
Trent Sherfield,NEP,WR,3122168
Trent Taylor,SFO,WR,3040569
Trenton Irwin,NYJ,WR,3931391
Trey Palmer,NOS,WR,4426407
Treylon Burks,WAS,WR,4567156
Troy Franklin,DEN,WR,4431280
Tutu Atwell,LAR,WR,4360797
Tylan Wallace,BAL,WR,4241424
Tyler Johnson,NYJ,WR,2310331
Tyler Lockett,LVR,WR,2577327
Tyler Murphy,MIA,WR,2516059
Tyler Scott,LAR,WR,4565908
Tyquan Thornton,KCC,WR,4362921
Tyreek Hill,MIA,WR,3116406
Tyrell Shavers,BUF,WR,4241476
Van Jefferson,TEN,WR,3930066
Velus Jones,SEA,WR,4035693
Wan'Dale Robinson,NYG,WR,4569587
Xavier Gipson,NYG,WR,4427278
Xavier Hutchinson,HOU,WR,4686422
Xavier Johnson,CIN,WR,4385430
Xavier Legette,CAR,WR,4430034
Xavier Restrepo,TEN,WR,4431353
Xavier Smith,LAR,WR,4386544
Xavier Weaver,ARI,WR,4428811
Xavier Worthy,KCC,WR,4683062
Zay Flowers,BAL,WR,4429615
Zay Jones,ARI,WR,3059722
