name,team,position,espn_id
Avery Williams,NYJ,RB,4048259
Bam Knight,ARI,RB,4427728
Ben Malena,DAL,RB,17319
Ben Mason,BAL,RB,4258190
BenJarvus Green-Ellis,FA*,RB,11754
Bhayshul Tuten,JAC,RB,4882093
Bijan Robinson,ATL,RB,4430807
Blake Corum,LAR,RB,4429096
Blake Watson,TEN,RB,4361604
Brady Russell,SEA,RB,4243176
Braelon Allen,NYJ,RB,4685247
Brashard Smith,KCC,RB,4596602
Breece Hall,NYJ,RB,4427366
Brian Robinson,SFO,RB,4241474
British Brooks,HOU,RB,4373273
Brittain Brown,CHI,RB,4036032
Bucky Irving,TBB,RB,4596448
Buddy Howell,LAR,RB,3122716
C.J. Ham,MIN,RB,4012556
Cam Akers,SEA,RB,4240021
Cam Skattebo,NYG,RB,4696981
Carlos Washington,ATL,RB,4248425
Carnell Williams,FA*,RB,8420
Carson Steele,PHI,RB,4714365
Cedric Peerman,CIN,RB,12519
Chase Brown,CIN,RB,4362238
Chase Edmonds,WAS,RB,3119195
Chris Brooks,GBP,RB,3149687
Chris Collier,LVR,RB,4698191
Chris Rodriguez,WAS,RB,4362619
Chris Taylor,NOS,RB,2767
Christian McCaffrey,SFO,RB,3117251
Chuba Hubbard,CAR,RB,4241416
Cierre Wood,BUF,RB,16496
Clyde Edwards-Helaire,KCC,RB,4242214
Cody Schrader,DEN,RB,4391845
Corey Kiner,ARI,RB,4431431
Craig Reynolds,NEP,RB,4421446
Cyrus Gray,ATL,RB,14897
D'Andre Swift,CHI,RB,4259545
D'Ernest Johnson,NEP,RB,3139602
DJ Giddens,IND,RB,4874509
Dameon Pierce,KCC,RB,4360238
Damien Martinez,GBP,RB,4808830
Dante Miller,NYG,RB,4367510
Dare Ogunbowale,HOU,RB,2983509
Darrin Reaves,KCC,RB,17397
David Montgomery,DET,RB,4035538
Davin Meggett,IND,RB,15617
De'Von Achane,MIA,RB,4429160
DeDe Dorsey,FA*,RB,10341
DeeJay Dallas,JAC,RB,4240631
Deneric Prince,NEP,RB,4372526
Dennis Morris,SDC,RB,13425
Derrick Henry,BAL,RB,3043078
Deuce Vaughn,DEN,RB,4431453
Devante Mays,JAC,RB,3918026
Devin Neal,NOS,RB,4682652
Devin Singletary,NYG,RB,4040761
Donovan Edwards,MIA,RB,4431536
Dylan Laube,LVR,RB,4366963
Dylan Sampson,CLE,RB,5081397
Eddie Williams,CLE,RB,12554
Elijah Mitchell,NEP,RB,4241555
Emanuel Wilson,GBP,RB,4887558
Emari Demercado,ARI,RB,4362478
Eric Gray,NYG,RB,4570561
Evan Hull,NOS,RB,4569609
Frank Gore Jr.,BUF,RB,4429805
Gary Brightwell,CIN,RB,4245645
George Holani,SEA,RB,4429835
George Winn,NYG,RB,16488
Glenn Winston,CLE,RB,2310051
Hassan Haskins,LAC,RB,4372071
Hunter Luepke,DAL,RB,4383396
Ian Johnson,DET,RB,12505
Ian Wheeler,NOS,RB,4579554
Isaac Guerendo,SFO,RB,4372561
Isaiah Davis,NYJ,RB,4695404
Isiah Pacheco,KCC,RB,4361529
Israel Abanikanda,DAL,RB,4429202
J.K. Dobbins,DEN,RB,4241985
Ja'Quinden Jackson,JAC,RB,4690972
Jabari Small,DET,RB,4432545
Jacardia Wright,SEA,RB,4428943
Jacob Saylors,DET,RB,4383429
Jacory Croskey-Merritt,WAS,RB,4575131
Jahmyr Gibbs,DET,RB,4429795
Jahwan Edwards,MIA,RB,2577845
Jakob Johnson,HOU,RB,3115349
Jaleel McLaughlin,DEN,RB,4722893
James Conner,ARI,RB,3045147
James Cook,BUF,RB,4379399
Jaret Patterson,LAC,RB,4362452
Jarquez Hunter,LAR,RB,4710341
Javarris James,ARI,RB,13748
Javarris Williams,HOU,RB,12526
Javonte Williams,DAL,RB,4361579
Jawhar Jordan,HOU,RB,4429939
Jaydon Blue,DAL,RB,4685279
Jaylen Warren,PIT,RB,4569987
Jaylen Wright,MIA,RB,4682745
Jeff Demps,IND,RB,15749
Jeffery Wilson,MIA,RB,3122976
Jeremiah Johnson,DEN,RB,12504
Jeremy McNichols,WAS,RB,3127586
Jermar Jefferson,ARI,RB,4374033
Jerome Ford,CLE,RB,4372019
Jerome Harrison,DET,RB,9731
Joe Mixon,HOU,RB,3116385
John Crockett,BAL,RB,2986739
John Griffin,NYJ,RB,14724
Jonathan Taylor,IND,RB,4242335
Jonathan Ward,BAL,RB,4039274
Jonathon Brooks,CAR,RB,4678008
Jordan James,SFO,RB,4685397
Jordan Mason,MIN,RB,4360569
Jordan Mims,TEN,RB,4243004
Josh Jacobs,GBP,RB,4047365
Josh Williams,TBB,RB,4568024
Julian Howsare,NYJ,RB,3124451
Julius Chestnut,TEN,RB,4367567
Justice Hill,BAL,RB,4038441
Justin Griffith,HOU,RB,4579
Kaleb Johnson,PIT,RB,4819231
Kalel Mullings,TEN,RB,4429121
Kareem Hunt,KCC,RB,3059915
Keaontay Ingram,KCC,RB,4362087
Keaton Mitchell,BAL,RB,4596334
Keilan Robinson,NYJ,RB,4567095
Kelvin Taylor,CLE,RB,3043120
Kendall Milton,CIN,RB,4429012
Kendre Miller,NOS,RB,4599739
Kene Nwangwu,NYJ,RB,4035537
Kenneth Gainwell,PIT,RB,4371733
Kenneth Walker III,SEA,RB,4567048
Kenny Hilliard,HOU,RB,2577288
Kenny McIntosh,SEA,RB,4427391
Kerrith Whyte,GBP,RB,3919104
Kevin Turner,PHI,RB,9727
Khalfani Muhammad,DEN,RB,3052143
Khalil Herbert,NYJ,RB,4035886
Kimani Vidal,LAC,RB,4430968
Korey Hall,ARI,RB,10634
Kory Sheets,OAK,RB,12521
Kyle Juszczyk,SFO,RB,16002
Kyle Monangai,CHI,RB,4608686
Kyren Williams,LAR,RB,4430737
Lan Larison,NEP,RB,4698253
Lawrence Thomas,NYJ,RB,2576280
LeQuint Allen,JAC,RB,4911851
Lew Nichols,PIT,RB,4428119
Lonnie Pryor,TBB,RB,16372
Malcolm Johnson,SFO,RB,2516316
Malik Davis,DAL,RB,4240603
MarShawn Lloyd,GBP,RB,4429023
Mark Thompson,OAK,RB,4057659
Marshall Faulk,STL,RB,2577503
Matt Lawrence,BAL,RB,11801
Matthew Tucker,PHI,RB,16236
Michael Burton,DEN,RB,2515270
Michael Carter,ARI,RB,4240657
Michael Hill,DAL,RB,16074
Michael Wiley,TBB,RB,4569156
Mike James,DET,RB,15968
Miles Sanders,DAL,RB,4045163
Montrell Johnson,CAR,RB,4684625
Myles Gaskin,SEA,RB,3886818
Najee Harris,LAC,RB,4241457
Nathan Carter,ATL,RB,4605841
Naufahu Tahi,MIN,RB,10246
Nick Chubb,HOU,RB,3128720
Nikita Whitlock,NYG,RB,17288
Nyheim Hines,NOS,RB,3916430
Ollie Gordon,MIA,RB,4711533
Omarion Hampton,LAC,RB,4685382
Onterio McCalebb,CIN,RB,16319
Owen Wright,TBB,RB,4249616
Patrick Ricard,BAL,RB,2975417
Patrick Taylor,SFO,RB,4039358
Phil Mafah,DAL,RB,4431562
Pierre Strong Jr.,GBP,RB,4249836
Quinshon Judkins,CLE,RB,4685702
RJ Harvey,DEN,RB,4568490
Rachaad White,TBB,RB,4697815
Raheem Blackshear,NYJ,RB,4259308
Raheem Mostert,LVR,RB,2576414
Raheim Sanders,CLE,RB,4601080
Rajion Neal,CLE,RB,17221
Ralph Webb,PIT,RB,3051762
Rashawn Jackson,CAR,RB,13590
Rasheen Ali,BAL,RB,4690013
Ray Davis,BUF,RB,4429501
Reggie Gilliam,BUF,RB,4039505
Rhamondre Stevenson,NEP,RB,4569173
Richard Medlin,MIA,RB,14825
Ricky Ortiz,NOS,RB,2978244
Rico Dowdle,CAR,RB,4038815
Robbie Ouzts,SEA,RB,4691688
Robert Hughes,ARI,RB,14266
Rock Cartwright,FA*,RB,3761
Ronnie Rivers,LAR,RB,4243003
Roschon Johnson,CHI,RB,4426386
Royce Freeman,LAC,RB,3122672
Ryan Mahaffey,IND,RB,14284
Salvon Ahmed,IND,RB,4243315
Samaje Perine,CIN,RB,3116389
Saquon Barkley,PHI,RB,3929630
Scott Matlock,LAC,RB,4373684
Sean Tucker,TBB,RB,4430871
Shane Bannon,KCC,RB,14166
Shaun Chapas,DET,RB,14094
ShunDerrick Powell,KCC,RB,4876907
Silas Redd,WAS,RB,17352
Sincere McCormick,MIN,RB,4430104
Sione Vaki,DET,RB,4912274
Spencer Brown,CAR,RB,4239768
Steven Jackson,NEP,RB,5549
